,nb_neurones_per_layers,nb_layers,activation,subsampling_dt,batchsize,past_temporal_horizon,future_temporal_horizon,past_delay,future_delay,smoothing,state_configuration,data,data_dt,Unnamed: 13
0,32,2,tanh,0.02,4096,0.5,0.2,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,0
1,32,2,tanh,0.02,4096,0.5,0.3,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,1
2,32,2,tanh,0.02,4096,0.5,0.4,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,2
3,32,2,tanh,0.02,4096,0.5,0.5,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,3
4,32,2,tanh,0.02,4096,1.0,0.2,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,4
5,32,2,tanh,0.02,4096,1.0,0.3,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,5
6,32,2,tanh,0.02,4096,1.0,0.4,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,6
7,32,2,tanh,0.02,4096,1.0,0.5,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,7
8,32,2,tanh,0.02,4096,2.0,0.2,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,8
9,32,2,tanh,0.02,4096,2.0,0.3,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,9
10,32,2,tanh,0.02,4096,2.0,0.4,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,10
11,32,2,tanh,0.02,4096,2.0,0.5,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,11
12,32,2,tanh,0.02,4096,3.0,0.2,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,12
13,32,2,tanh,0.02,4096,3.0,0.3,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,13
14,32,2,tanh,0.02,4096,3.0,0.4,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,14
15,32,2,tanh,0.02,4096,3.0,0.5,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,15
16,32,2,tanh,0.02,4096,4.0,0.2,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,16
17,32,2,tanh,0.02,4096,4.0,0.3,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,17
18,32,2,tanh,0.02,4096,4.0,0.4,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,18
19,32,2,tanh,0.02,4096,4.0,0.5,0.02,0.02,0,duffing,duffing_oscillator_a,0.0001,19
20,32,2,tanh,0.02,4096,5.0,0.2,0.04,0.02,0,duffing,duffing_oscillator_a,0.0001,20
21,32,2,tanh,0.02,4096,5.0,0.3,0.04,0.02,0,duffing,duffing_oscillator_a,0.0001,21
22,32,2,tanh,0.02,4096,5.0,0.4,0.04,0.02,0,duffing,duffing_oscillator_a,0.0001,22
23,32,2,tanh,0.02,4096,5.0,0.5,0.04,0.02,0,duffing,duffing_oscillator_a,0.0001,23
