,x,ukf_['x'],y,ukf_['y'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
17,0.049659055,0.08072674202728788,0.04108035,0.07035887052460514,0.0453697,0.0755428062759465,4.0,0.3
21,0.05341514,0.08072674202728788,0.039627466,0.07035887052460514,0.046521302,0.0755428062759465,5.0,0.3
20,0.055701118,0.08072674202728788,0.039067894,0.07035887052460514,0.047384508,0.0755428062759465,5.0,0.2
18,0.050589,0.08072674202728788,0.04482744,0.07035887052460514,0.04770822,0.0755428062759465,4.0,0.4
23,0.0595751,0.08072674202728788,0.039024983,0.07035887052460514,0.04930004,0.0755428062759465,5.0,0.5
19,0.05349921,0.08072674202728788,0.045328323,0.07035887052460514,0.049413767,0.0755428062759465,4.0,0.5
15,0.067246564,0.08072674202728788,0.043056123,0.07035887052460514,0.055151343,0.0755428062759465,3.0,0.5
14,0.06856578,0.08072674202728788,0.04415353,0.07035887052460514,0.056359656,0.0755428062759465,3.0,0.4
22,0.06344966,0.08072674202728788,0.05296964,0.07035887052460514,0.05820965,0.0755428062759465,5.0,0.4
16,0.06418002,0.08072674202728788,0.058020383,0.07035887052460514,0.0611002,0.0755428062759465,4.0,0.2
12,0.08376478,0.08072674202728788,0.05909144,0.07035887052460514,0.071428105,0.0755428062759465,3.0,0.2
13,0.08219135,0.08072674202728788,0.06100248,0.07035887052460514,0.07159691,0.0755428062759465,3.0,0.3
11,0.08076614,0.08072674202728788,0.0695243,0.07035887052460514,0.07514522,0.0755428062759465,2.0,0.5
10,0.08362224,0.08072674202728788,0.06768438,0.07035887052460514,0.075653315,0.0755428062759465,2.0,0.4
9,0.084075876,0.08072674202728788,0.07388005,0.07035887052460514,0.07897796,0.0755428062759465,2.0,0.3
8,0.083711326,0.08072674202728788,0.08042964,0.07035887052460514,0.082070485,0.0755428062759465,2.0,0.2
6,0.09998852,0.08072674202728788,0.12895195,0.07035887052460514,0.114470236,0.0755428062759465,1.0,0.4
4,0.098430805,0.08072674202728788,0.13621157,0.07035887052460514,0.11732119,0.0755428062759465,1.0,0.2
7,0.108954564,0.08072674202728788,0.13110529,0.07035887052460514,0.12002993,0.0755428062759465,1.0,0.5
5,0.10102717,0.08072674202728788,0.14043696,0.07035887052460514,0.12073207,0.0755428062759465,1.0,0.3
2,0.12912753,0.08072674202728788,0.22879905,0.07035887052460514,0.17896329,0.0755428062759465,0.5,0.4
3,0.13225785,0.08072674202728788,0.22901483,0.07035887052460514,0.18063635,0.0755428062759465,0.5,0.5
0,0.13261707,0.08072674202728788,0.24973327,0.07035887052460514,0.19117516,0.0755428062759465,0.5,0.2
1,0.13520041,0.08072674202728788,0.25491118,0.07035887052460514,0.1950558,0.0755428062759465,0.5,0.3
