,x,ukf_['x'],y,ukf_['y'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
23,0.090916716,0.1356554627667141,0.061167575,0.10238663381650188,0.076042145,0.119021048291608,5.0,0.5
22,0.09535872,0.1356554627667141,0.064469755,0.10238663381650188,0.07991424,0.119021048291608,5.0,0.4
21,0.088719934,0.1356554627667141,0.07338506,0.10238663381650188,0.0810525,0.119021048291608,5.0,0.3
17,0.09539442,0.1356554627667141,0.07733485,0.10238663381650188,0.086364634,0.119021048291608,4.0,0.3
20,0.09083977,0.1356554627667141,0.088165216,0.10238663381650188,0.0895025,0.119021048291608,5.0,0.2
19,0.107042134,0.1356554627667141,0.07259198,0.10238663381650188,0.08981706,0.119021048291608,4.0,0.5
18,0.10074852,0.1356554627667141,0.08437036,0.10238663381650188,0.09255944,0.119021048291608,4.0,0.4
16,0.10003024,0.1356554627667141,0.09093247,0.10238663381650188,0.09548136,0.119021048291608,4.0,0.2
15,0.1304731,0.1356554627667141,0.07115176,0.10238663381650188,0.100812435,0.119021048291608,3.0,0.5
13,0.1279936,0.1356554627667141,0.088833034,0.10238663381650188,0.10841332,0.119021048291608,3.0,0.3
12,0.13450286,0.1356554627667141,0.08353661,0.10238663381650188,0.109019734,0.119021048291608,3.0,0.2
14,0.14443186,0.1356554627667141,0.07605381,0.10238663381650188,0.110242836,0.119021048291608,3.0,0.4
10,0.14650981,0.1356554627667141,0.11237971,0.10238663381650188,0.12944476,0.119021048291608,2.0,0.4
9,0.14440516,0.1356554627667141,0.12110727,0.10238663381650188,0.13275622,0.119021048291608,2.0,0.3
8,0.15137517,0.1356554627667141,0.118232556,0.10238663381650188,0.13480386,0.119021048291608,2.0,0.2
11,0.1524585,0.1356554627667141,0.124862455,0.10238663381650188,0.13866048,0.119021048291608,2.0,0.5
5,0.18218529,0.1356554627667141,0.22417554,0.10238663381650188,0.20318042,0.119021048291608,1.0,0.3
6,0.19598702,0.1356554627667141,0.23218854,0.10238663381650188,0.21408778,0.119021048291608,1.0,0.4
4,0.18968609,0.1356554627667141,0.2439283,0.10238663381650188,0.21680719,0.119021048291608,1.0,0.2
7,0.19177099,0.1356554627667141,0.24714372,0.10238663381650188,0.21945736,0.119021048291608,1.0,0.5
2,0.25862938,0.1356554627667141,0.47322708,0.10238663381650188,0.36592823,0.119021048291608,0.5,0.4
0,0.2613264,0.1356554627667141,0.47819233,0.10238663381650188,0.36975938,0.119021048291608,0.5,0.2
3,0.27239773,0.1356554627667141,0.47379857,0.10238663381650188,0.37309813,0.119021048291608,0.5,0.5
1,0.26426673,0.1356554627667141,0.4830155,0.10238663381650188,0.37364113,0.119021048291608,0.5,0.3
